mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
201266135,6,1.0,3.8333333333333335,0,6,0,0,1,0,1,0,1,1,0,0,8,fanshi
324229307,25,0.72,3.92,0,5,0,0,0,0,0,0,1,1,0,0,29,fanshi
399960096,1,1.0,10.0,0,6,0,0,0,0,0,1,0,0,0,0,17,fanshi
562398052,0,1.0,0.0,1,6,0,0,0,1,0,0,1,1,0,5,47,fanshi
67921512,2,1.0,6.0,0,6,0,0,1,0,0,1,1,1,0,11,47,fanshi
698112182,1,1.0,4.0,0,5,0,0,0,0,0,0,1,0,0,1,9,fanshi
313778551,1,1.0,3.0,0,6,0,0,0,1,1,1,1,1,0,62,9988,fanshi
1316444046,3,1.0,2.6666666666666665,0,3,0,1,0,0,1,1,1,0,0,0,0,fanshi
4033117,1,1.0,6.0,0,6,0,1,0,0,0,1,0,1,0,4,8,fanshi
443112794,26,0.9230769230769231,8.307692307692308,0,6,0,0,1,0,1,1,0,1,0,0,38,fanshi
1913790085,5,1.0,17.6,0,5,0,0,0,0,1,0,1,0,0,0,9,fanshi
602195650,1,1.0,1.0,0,6,0,0,0,0,1,0,0,1,0,0,2,fanshi
1200357887,1,1.0,4.0,0,6,0,0,0,0,0,0,0,1,0,0,14,fanshi
283229770,3,1.0,5.333333333333333,0,6,0,0,1,0,0,1,1,1,0,47,156,fanshi
33987129,1,1.0,4.0,0,6,0,0,1,0,0,0,1,1,0,0,35,fanshi
35667982,1,1.0,4.0,0,6,0,0,0,0,1,0,0,0,0,4,48,fanshi
3493288046758452,2,1.0,2.5,0,5,0,0,1,0,0,0,0,0,0,1,12,fanshi
135390972,5,1.0,4.4,0,6,0,0,0,0,0,0,1,1,0,0,4,fanshi
3546559216093237,1,1.0,2.0,0,4,0,0,0,0,0,0,1,0,0,7,7,fanshi
1083571467,1,1.0,5.0,1,5,0,0,0,0,0,0,1,1,0,53,0,fanshi
3493288180976300,4,1.0,3.5,0,3,0,0,0,0,0,1,1,0,0,0,14,fanshi
594675213,3,1.0,29.666666666666668,0,5,0,0,0,0,1,0,1,1,0,0,87,fanshi
510759826,1,1.0,4.0,0,5,0,0,0,0,0,0,1,0,0,0,10,fanshi
85966222,1,1.0,3.0,0,6,0,0,0,0,1,0,1,1,0,0,7,fanshi
620925347,1,1.0,1.0,0,6,0,0,0,0,0,0,1,0,0,0,0,fanshi
10501942,2,1.0,8.5,0,6,0,0,1,0,1,1,1,1,0,2,55,fanshi
2037386844,1,1.0,4.0,0,5,0,0,0,0,1,0,1,1,0,0,5,fanshi
27118609,0,1.0,0.0,1,6,0,0,0,0,1,0,1,0,0,0,16,fanshi
26064733,4,1.0,5.25,0,6,0,0,0,0,0,0,0,0,0,0,2,fanshi
752106,4,1.0,3.75,0,6,0,0,0,0,0,0,1,0,0,5,20,fanshi
24281405,1,1.0,1.0,0,6,0,0,1,0,1,1,1,1,0,0,22,fanshi
1242395140,2,1.0,4.0,0,5,0,0,0,0,1,0,0,0,0,4,28,fanshi
669978465,1,1.0,2.0,0,5,0,0,0,0,0,0,1,1,0,2,18,fanshi
23715470,1,1.0,5.0,0,6,0,0,1,0,1,0,0,0,0,5,9,fanshi
133592993,1,1.0,4.0,0,6,0,0,1,0,0,0,1,1,0,7,77,fanshi
697287,4,1.0,12.75,0,6,0,0,1,0,0,0,0,0,0,31,6,fanshi
3461566385096957,2,1.0,39.0,0,5,0,0,1,0,0,0,1,1,0,12,34,fanshi
438894173,1,1.0,6.0,0,6,0,0,0,0,1,0,1,1,0,1,9,fanshi
482068085,5,1.0,3.2,0,6,0,0,0,1,1,0,1,1,0,7,10,fanshi
864790,1,1.0,12.0,0,6,0,0,0,0,1,0,0,1,0,94,29,fanshi
632181372,1,1.0,10.0,0,5,0,0,0,0,1,0,1,1,0,0,50,fanshi
277637204,1,1.0,1.0,0,6,0,0,0,0,0,0,1,0,0,0,4,fanshi
11687937,1,1.0,10.0,0,6,0,0,0,0,0,0,0,1,0,11,139,fanshi
6498720,13,0.9230769230769231,4.615384615384615,0,6,0,0,1,0,0,0,0,0,0,0,34,fanshi
481252041,1,1.0,4.0,0,6,0,0,0,1,1,1,1,1,0,0,12,fanshi
286151066,1,1.0,6.0,0,6,0,0,0,0,1,0,0,1,0,56,411,fanshi
560069196,2,1.0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,1,fanshi
382879174,1,1.0,5.0,0,5,0,0,0,0,0,0,0,0,0,0,16,fanshi
49682324,1,1.0,1.0,0,6,0,0,1,0,1,1,0,1,0,0,70,fanshi
182671030,3,0.6666666666666666,1.6666666666666667,0,6,0,0,0,0,1,1,1,1,0,9,10,fanshi
203393641,8,1.0,5.25,0,6,0,0,0,0,0,0,0,1,0,28,1829,fanshi
381665938,1,1.0,1.0,0,6,0,0,0,0,0,1,1,0,0,0,18,fanshi
520572243,8,1.0,3.25,0,5,0,0,0,0,1,0,1,0,0,0,11,fanshi
1738951414,5,1.0,2.2,0,4,0,0,0,0,0,0,0,1,0,38,33,fanshi
2176807,1,1.0,1.0,0,6,0,0,1,0,1,0,0,0,0,0,1,fanshi
354561526,1,1.0,3.0,0,6,0,0,1,0,0,0,0,1,0,9,107,fanshi
419275991,6,1.0,3.5,0,6,0,0,1,1,1,0,1,1,0,4,15,fanshi
348735497,1,1.0,11.0,0,6,0,0,1,1,0,0,1,1,0,0,2,fanshi
666803185,3,1.0,35.0,0,5,0,0,0,0,1,1,1,1,0,0,7,fanshi
3493083526204190,2,1.0,1.5,0,5,0,0,1,0,1,1,1,1,0,25,192,fanshi
3493280780126282,4,1.0,7.5,0,5,0,0,1,0,0,1,1,0,0,0,7,fanshi
26851159,9,1.0,5.222222222222222,0,6,0,0,1,1,1,1,1,0,0,0,26,fanshi
30572855,1,1.0,4.0,0,6,0,0,0,0,1,0,1,1,0,1371,396,fanshi
2067693186,0,1.0,0.0,1,5,0,0,0,0,0,0,0,0,0,0,7,fanshi
1412691125,1,1.0,3.0,0,5,0,0,1,0,0,0,1,0,0,0,3,fanshi
271928167,0,1.0,0.0,1,6,0,0,0,0,1,0,1,1,0,10,478,fanshi
168922707,2,1.0,2.0,0,5,0,0,0,0,0,0,0,0,0,0,0,fanshi
3546842419694266,1,1.0,7.0,0,4,0,0,0,0,0,0,0,1,0,1,4,fanshi
1609432369,3,0.6666666666666666,4.333333333333333,0,5,0,0,0,0,0,0,0,1,0,17,75,fanshi
32840018,1,1.0,18.0,0,6,0,0,0,0,0,0,1,1,0,11,35,fanshi
559691264,0,1.0,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,fanshi
652043635,5,1.0,4.2,0,5,0,0,0,0,0,0,1,0,0,1,8,fanshi
1133052558,4,1.0,5.75,0,5,0,0,0,0,0,1,1,1,0,11,125,fanshi
3546658153433394,2,1.0,4.5,0,4,1,0,0,0,0,0,0,1,0,0,4,fanshi
