mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
3472,17,1.0,6.176470588235294,1,6,0,0,1,0,1,0,1,1,0,6,280,nailv
295102,12,1.0,15.916666666666666,0,6,0,0,1,0,1,0,1,0,0,366,207,nailv
24329231,39,0.9743589743589743,9.179487179487179,0,6,0,0,1,0,0,1,0,0,0,3,84,nailv
386732638,199,0.7286432160804021,5.1708542713567835,0,6,0,0,0,0,0,0,0,0,0,1,52,nailv
1573941156,11,1.0,6.545454545454546,0,5,0,0,0,0,0,0,1,0,0,3,19,nailv
11477970,229,0.7117903930131004,19.978165938864628,0,6,0,0,1,1,1,0,1,1,0,23,471,nailv
5366318,470,0.825531914893617,15.327659574468084,0,6,0,0,0,0,0,1,1,0,0,0,37,nailv
454068981,4,0.5,16.25,0,6,0,0,1,0,0,1,1,1,0,2,105,nailv
23517842,175,0.96,7.571428571428571,1,6,0,0,0,0,0,0,1,1,0,7,61,nailv
222923437,77,0.2857142857142857,16.025974025974026,0,5,0,0,0,0,1,0,0,1,0,0,6,nailv
9208205,3,1.0,7.0,0,6,0,0,0,0,0,0,0,0,0,0,2,nailv
322244,211,0.9241706161137441,5.597156398104265,0,6,0,0,1,0,0,0,0,0,0,0,23,nailv
546160791,5,0.8,7.6,0,5,0,0,0,0,0,0,0,1,0,1,80,nailv
375541,5,1.0,4.4,0,6,0,0,1,0,1,0,1,1,0,181,2497,nailv
525141382,331,0.9425981873111783,10.809667673716012,0,5,0,0,1,0,1,0,1,1,0,5,152,nailv
24757143,10,1.0,16.0,0,6,0,0,0,1,0,0,0,1,0,38,155,nailv
13892390,783,0.946360153256705,8.836526181353767,0,6,0,0,1,0,1,1,1,1,0,0,200,nailv
628638867,118,0.652542372881356,21.177966101694917,1,6,0,0,1,0,1,1,1,0,0,1,33,nailv
641938,1,1.0,3.0,0,6,0,0,1,0,0,0,0,0,0,0,58,nailv
1056997306,160,0.925,12.20625,1,6,0,0,1,1,1,1,1,1,0,172,696,nailv
492168831,7,1.0,5.428571428571429,0,4,0,0,0,0,0,0,0,1,0,0,9,nailv
156565726,54,0.9814814814814815,8.703703703703704,1,5,0,0,0,0,1,1,1,0,0,0,121,nailv
1738921950,7,1.0,9.571428571428571,0,5,0,0,0,0,0,0,0,0,0,0,0,nailv
14682810,0,1.0,0.0,1,6,0,0,0,0,1,0,1,0,0,3,128,nailv
8228111,0,1.0,0.0,1,6,0,0,1,0,0,0,1,1,0,2,56,nailv
15716046,19,0.7894736842105263,3.3157894736842106,0,6,0,0,0,0,1,0,1,0,0,6,31,nailv
5164831,7,1.0,4.714285714285714,0,6,0,0,0,1,1,0,1,1,0,8,96,nailv
