mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
9122605,1,1.0,1.0,0,6,0,0,1,0,1,0,0,0,0,1,23,yingyueyue
423237787,0,1.0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,3,yingyueyue
1244286523,8,0.875,32.125,1,3,0,0,0,0,0,0,1,1,0,0,5,yingyueyue
3546712171874506,5,0.8,5.0,0,3,0,0,0,0,0,0,0,0,0,0,17,yingyueyue
5411365,9,0.5555555555555556,4.888888888888889,0,6,0,0,1,0,1,1,1,0,0,6,4,yingyueyue
309933169,2,1.0,40.0,0,5,0,0,0,0,0,0,1,0,0,0,2,yingyueyue
303653632,1,1.0,5.0,1,5,0,0,0,0,1,0,0,1,0,7,34,yingyueyue
2140826320,24,0.75,43.875,1,4,0,0,0,0,1,0,1,0,0,0,10,yingyueyue
3690974343596780,1,1.0,8.0,0,2,0,0,0,0,0,0,0,0,0,0,1,yingyueyue
1170531906,13,1.0,8.615384615384615,0,5,0,0,0,0,0,0,1,0,0,0,2,yingyueyue
3546587588463082,1,1.0,4.0,0,4,0,0,0,0,1,0,1,1,0,0,2,yingyueyue
91784694,3,0.6666666666666666,5.333333333333333,0,6,0,0,0,0,1,0,1,1,0,5,2,yingyueyue
664111785,1,1.0,77.0,0,5,0,1,0,0,1,0,1,0,0,0,49,yingyueyue
524617589,1,1.0,4.0,0,5,0,0,0,0,0,0,0,1,0,0,21,yingyueyue
49813836,1,1.0,76.0,0,6,0,0,1,0,0,0,0,1,0,0,26,yingyueyue
3546568116406790,3,1.0,9.0,0,4,0,0,0,0,0,0,0,0,0,1,2,yingyueyue
190789483,12,1.0,12.75,0,4,0,0,0,0,0,0,1,0,0,37,26,yingyueyue
3546554761742792,18,0.5555555555555556,5.555555555555555,1,3,0,0,0,0,0,0,1,1,0,0,13,yingyueyue
2059610210,1,1.0,4.0,0,5,0,0,0,0,0,0,1,0,0,8,11,yingyueyue
3546570486188919,4,0.5,7.25,1,4,0,0,0,0,0,0,1,0,0,0,2,yingyueyue
3493093877746252,3,1.0,13.333333333333334,0,4,0,0,0,0,1,0,1,1,0,1,3,yingyueyue
3546779976993539,19,0.7368421052631579,6.157894736842105,0,4,0,0,0,0,0,0,0,0,0,0,13,yingyueyue
1284664505,1,1.0,7.0,0,6,0,0,1,1,1,0,0,0,0,2,60,yingyueyue
436282111,2,1.0,7.5,0,5,0,0,1,0,1,1,1,0,0,14,59,yingyueyue
